"항목","시점","통계분류(1)",통계분류(2),데이터
"화가 및 조각가","2018","권역별",부산/울산/대구/경북/경남,27.1
"화가 및 조각가","2018","권역별",대전/충청/강원,24.5
"화가 및 조각가","2018","권역별",광주/전라/제주,29.4
"화가 및 조각가","2018","권역별",모름/무응답,34.3
"화가 및 조각가","2018","성별",남성,20.3
"화가 및 조각가","2018","성별",여성,21.8
"화가 및 조각가","2018","연령별",39세 이하,8.3
"화가 및 조각가","2018","연령별",40대,17.1
"화가 및 조각가","2018","연령별",50대,30.2
"화가 및 조각가","2018","연령별",60세이상,30.6
"화가 및 조각가","2018","학력별",고졸 이하,14.8
"화가 및 조각가","2018","학력별",대졸,19.9
"화가 및 조각가","2018","학력별",대학원이상,27.9
"화가 및 조각가","2018","학력별",모름/무응답,4.1
"화가 및 조각가","2018","가구소득별",하(3000만원 미만),22.9
"화가 및 조각가","2018","가구소득별",중(3~5000만원 미만),21.3
"화가 및 조각가","2018","가구소득별",상(5000만원 이상),17.2
"작가","2018","전체",소계,14.5
"작가","2018","예술활동 분야별",문학,96.2
"작가","2018","예술활동 분야별",미술,13
"작가","2018","예술활동 분야별",공예,4.3
"작가","2018","예술활동 분야별",사진,4.7
"작가","2018","예술활동 분야별",건축,4.2
"작가","2018","예술활동 분야별",음악,0.7
"작가","2018","예술활동 분야별",국악,0.2
"작가","2018","예술활동 분야별",대중음악,2.5
"작가","2018","예술활동 분야별",방송,6.5
"작가","2018","예술활동 분야별",무용,2.4
"작가","2018","예술활동 분야별",연극,12.8
"작가","2018","예술활동 분야별",영화,22.7
"작가","2018","예술활동 분야별",만화,17.6
"작가","2018","예술활동 분야별",기타,4.7
"작가","2018","권역별",서울,16
"작가","2018","권역별",인천/경기,8.3
"작가","2018","권역별",부산/울산/대구/경북/경남,17
"작가","2018","권역별",대전/충청/강원,14.7
"작가","2018","권역별",광주/전라/제주,13.4
"작가","2018","권역별",모름/무응답,27.4
"작가","2018","성별",남성,13.6
"작가","2018","성별",여성,15.9
"작가","2018","연령별",39세 이하,10.1
"작가","2018","연령별",40대,14.3
"작가","2018","연령별",50대,17.4
"작가","2018","연령별",60세이상,17.3
"작가","2018","학력별",고졸 이하,10.2
"작가","2018","학력별",대졸,14.6
"작가","2018","학력별",대학원이상,16.9
"작가","2018","학력별",모름/무응답,18.5
"작가","2018","가구소득별",하(3000만원 미만),16.9
"작가","2018","가구소득별",중(3~5000만원 미만),13.8
"작가","2018","가구소득별",상(5000만원 이상),10.9
"배우","2018","전체",소계,10.4
"배우","2018","예술활동 분야별",문학,0
"배우","2018","예술활동 분야별",미술,0.3
"배우","2018","예술활동 분야별",공예,0
"배우","2018","예술활동 분야별",사진,0.4
"배우","2018","예술활동 분야별",건축,0
"배우","2018","예술활동 분야별",음악,1.2
"배우","2018","예술활동 분야별",국악,1.2
"배우","2018","예술활동 분야별",대중음악,1.1
"배우","2018","예술활동 분야별",방송,47.4
"배우","2018","예술활동 분야별",무용,4.4
"배우","2018","예술활동 분야별",연극,61.6
"배우","2018","예술활동 분야별",영화,16.1
"배우","2018","예술활동 분야별",만화,0
"배우","2018","예술활동 분야별",기타,2.7
"배우","2018","권역별",서울,12.9
"배우","2018","권역별",인천/경기,12.9
"배우","2018","권역별",부산/울산/대구/경북/경남,7
"배우","2018","권역별",대전/충청/강원,5.2
"배우","2018","권역별",광주/전라/제주,4.5
"배우","2018","권역별",모름/무응답,8.3
"배우","2018","성별",남성,11.7
"배우","2018","성별",여성,8.4
"배우","2018","연령별",39세 이하,16.9
"배우","2018","연령별",40대,14.5
"배우","2018","연령별",50대,6.4
"배우","2018","연령별",60세이상,3.3
"배우","2018","학력별",고졸 이하,13.5
"배우","2018","학력별",대졸,12.5
"배우","2018","학력별",대학원이상,4.5
"배우","2018","학력별",모름/무응답,11
"배우","2018","가구소득별",하(3000만원 미만),13.1
"배우","2018","가구소득별",중(3~5000만원 미만),8.4
"배우","2018","가구소득별",상(5000만원 이상),7.4
"연주가","2018","전체",소계,9.8
"연주가","2018","예술활동 분야별",문학,0
"연주가","2018","예술활동 분야별",미술,0.1
"연주가","2018","예술활동 분야별",공예,0
"연주가","2018","예술활동 분야별",사진,0
"연주가","2018","예술활동 분야별",건축,0.4
"연주가","2018","예술활동 분야별",음악,42.2
"연주가","2018","예술활동 분야별",국악,2.2
"연주가","2018","예술활동 분야별",대중음악,43.6
"연주가","2018","예술활동 분야별",방송,2
"연주가","2018","예술활동 분야별",무용,0.6
"연주가","2018","예술활동 분야별",연극,1.4
"연주가","2018","예술활동 분야별",영화,0
"연주가","2018","예술활동 분야별",만화,0
"연주가","2018","예술활동 분야별",기타,5.2
"연주가","2018","권역별",서울,11
"연주가","2018","권역별",인천/경기,10.2
"연주가","2018","권역별",부산/울산/대구/경북/경남,8.6
"연주가","2018","권역별",대전/충청/강원,7.3
"연주가","2018","권역별",광주/전라/제주,7.6
"연주가","2018","권역별",모름/무응답,8.7
"연주가","2018","성별",남성,11.3
"연주가","2018","성별",여성,7.4
"연주가","2018","연령별",39세 이하,18.3
"연주가","2018","연령별",40대,12.2
"연주가","2018","연령별",50대,3.7
"연주가","2018","연령별",60세이상,3.1
"연주가","2018","학력별",고졸 이하,10.3
"연주가","2018","학력별",대졸,10
"연주가","2018","학력별",대학원이상,9.6
"연주가","2018","학력별",모름/무응답,0.6
"연주가","2018","가구소득별",하(3000만원 미만),9.7
"연주가","2018","가구소득별",중(3~5000만원 미만),10.2
"연주가","2018","가구소득별",상(5000만원 이상),9.6
"작곡가 및 편곡가","2018","전체",소계,9.4
"작곡가 및 편곡가","2018","예술활동 분야별",문학,0
"작곡가 및 편곡가","2018","예술활동 분야별",미술,0
"작곡가 및 편곡가","2018","예술활동 분야별",공예,0
"작곡가 및 편곡가","2018","예술활동 분야별",사진,0
"작곡가 및 편곡가","2018","예술활동 분야별",건축,0
"작곡가 및 편곡가","2018","예술활동 분야별",음악,19.1
"작곡가 및 편곡가","2018","예술활동 분야별",국악,2.2
"작곡가 및 편곡가","2018","예술활동 분야별",대중음악,54.7
"작곡가 및 편곡가","2018","예술활동 분야별",방송,0.7
"작곡가 및 편곡가","2018","예술활동 분야별",무용,0
"작곡가 및 편곡가","2018","예술활동 분야별",연극,0.5
"작곡가 및 편곡가","2018","예술활동 분야별",영화,0
"작곡가 및 편곡가","2018","예술활동 분야별",만화,0
"작곡가 및 편곡가","2018","예술활동 분야별",기타,1.7
"작곡가 및 편곡가","2018","권역별",서울,13.4
"작곡가 및 편곡가","2018","권역별",인천/경기,9.1
"작곡가 및 편곡가","2018","권역별",부산/울산/대구/경북/경남,6.2
"작곡가 및 편곡가","2018","권역별",대전/충청/강원,7.2
"작곡가 및 편곡가","2018","권역별",광주/전라/제주,3.2
"작곡가 및 편곡가","2018","권역별",모름/무응답,2.4
"작곡가 및 편곡가","2018","성별",남성,11.7
"작곡가 및 편곡가","2018","성별",여성,5.7
"작곡가 및 편곡가","2018","연령별",39세 이하,19
"작곡가 및 편곡가","2018","연령별",40대,9
"작곡가 및 편곡가","2018","연령별",50대,4.2
"작곡가 및 편곡가","2018","연령별",60세이상,2.9
"작곡가 및 편곡가","2018","학력별",고졸 이하,14
"작곡가 및 편곡가","2018","학력별",대졸,10.2
"작곡가 및 편곡가","2018","학력별",대학원이상,5.4
"작곡가 및 편곡가","2018","학력별",모름/무응답,1.9
"작곡가 및 편곡가","2018","가구소득별",하(3000만원 미만),9.8
"작곡가 및 편곡가","2018","가구소득별",중(3~5000만원 미만),6.8
"작곡가 및 편곡가","2018","가구소득별",상(5000만원 이상),10.7
"가수","2018","전체",소계,7.6
"가수","2018","예술활동 분야별",문학,0.3
"가수","2018","예술활동 분야별",미술,0
"가수","2018","예술활동 분야별",공예,0
"가수","2018","예술활동 분야별",사진,0.2
"가수","2018","예술활동 분야별",건축,0
"가수","2018","예술활동 분야별",음악,3.8
"가수","2018","예술활동 분야별",국악,0.8
"가수","2018","예술활동 분야별",대중음악,49.1
"가수","2018","예술활동 분야별",방송,1.5
"가수","2018","예술활동 분야별",무용,0.6
"가수","2018","예술활동 분야별",연극,0.3
"가수","2018","예술활동 분야별",영화,0
"가수","2018","예술활동 분야별",만화,0
"가수","2018","예술활동 분야별",기타,1.6
"가수","2018","권역별",서울,10.2
"가수","2018","권역별",인천/경기,8
"가수","2018","권역별",부산/울산/대구/경북/경남,4.2
"가수","2018","권역별",대전/충청/강원,8.4
"가수","2018","권역별",광주/전라/제주,3.2
"가수","2018","권역별",모름/무응답,0.6
"가수","2018","성별",남성,8.3
"가수","2018","성별",여성,6.5
"가수","2018","연령별",39세 이하,15.4
"가수","2018","연령별",40대,4.5
"가수","2018","연령별",50대,3.8
"가수","2018","연령별",60세이상,4
"가수","2018","학력별",고졸 이하,16.1
"가수","2018","학력별",대졸,7.7
"가수","2018","학력별",대학원이상,2.2
"가수","2018","학력별",모름/무응답,2.5
"가수","2018","가구소득별",하(3000만원 미만),7.6
"가수","2018","가구소득별",중(3~5000만원 미만),6.8
"가수","2018","가구소득별",상(5000만원 이상),8.3
"감독 및 연출가","2018","전체",소계,7
"감독 및 연출가","2018","예술활동 분야별",문학,1.1
"감독 및 연출가","2018","예술활동 분야별",미술,0.4
"감독 및 연출가","2018","예술활동 분야별",공예,0.8
"감독 및 연출가","2018","예술활동 분야별",사진,0.5
"감독 및 연출가","2018","예술활동 분야별",건축,0
"감독 및 연출가","2018","예술활동 분야별",음악,6.2
"감독 및 연출가","2018","예술활동 분야별",국악,3.1
"감독 및 연출가","2018","예술활동 분야별",대중음악,3.7
"감독 및 연출가","2018","예술활동 분야별",방송,15.9
"감독 및 연출가","2018","예술활동 분야별",무용,9.2
"감독 및 연출가","2018","예술활동 분야별",연극,24.1
"감독 및 연출가","2018","예술활동 분야별",영화,47.8
"감독 및 연출가","2018","예술활동 분야별",만화,0
"감독 및 연출가","2018","예술활동 분야별",기타,4.8
"감독 및 연출가","2018","권역별",서울,11.2
"감독 및 연출가","2018","권역별",인천/경기,4.4
"감독 및 연출가","2018","권역별",부산/울산/대구/경북/경남,2.6
"감독 및 연출가","2018","권역별",대전/충청/강원,4.1
"감독 및 연출가","2018","권역별",광주/전라/제주,2.5
"감독 및 연출가","2018","권역별",모름/무응답,13.4
"감독 및 연출가","2018","성별",남성,8
"감독 및 연출가","2018","성별",여성,5.4
"감독 및 연출가","2018","연령별",39세 이하,9.9
"감독 및 연출가","2018","연령별",40대,10.7
"감독 및 연출가","2018","연령별",50대,5.3
"감독 및 연출가","2018","연령별",60세이상,2.4
"감독 및 연출가","2018","학력별",고졸 이하,4.5
"감독 및 연출가","2018","학력별",대졸,8.5
"감독 및 연출가","2018","학력별",대학원이상,6.1
"감독 및 연출가","2018","학력별",모름/무응답,6.3
"감독 및 연출가","2018","가구소득별",하(3000만원 미만),8.1
"감독 및 연출가","2018","가구소득별",중(3~5000만원 미만),7.3
"감독 및 연출가","2018","가구소득별",상(5000만원 이상),4.9
"사진작가","2018","전체",소계,6.8
"사진작가","2018","예술활동 분야별",문학,1
"사진작가","2018","예술활동 분야별",미술,1.8
"사진작가","2018","예술활동 분야별",공예,0.7
"사진작가","2018","예술활동 분야별",사진,95.3
"사진작가","2018","예술활동 분야별",건축,0.3
"사진작가","2018","예술활동 분야별",음악,0
"사진작가","2018","예술활동 분야별",국악,0
"사진작가","2018","예술활동 분야별",대중음악,0
"사진작가","2018","예술활동 분야별",방송,0.4
"사진작가","2018","예술활동 분야별",무용,0
"사진작가","2018","예술활동 분야별",연극,0.5
"사진작가","2018","예술활동 분야별",영화,0.9
"사진작가","2018","예술활동 분야별",만화,1.3
"사진작가","2018","예술활동 분야별",기타,2.1
"사진작가","2018","권역별",서울,3.7
"사진작가","2018","권역별",인천/경기,6.4
"사진작가","2018","권역별",부산/울산/대구/경북/경남,10.6
"사진작가","2018","권역별",대전/충청/강원,9.5
"사진작가","2018","권역별",광주/전라/제주,13.4
"사진작가","2018","권역별",모름/무응답,4.2
"사진작가","2018","성별",남성,8.5
"사진작가","2018","성별",여성,3.9
"사진작가","2018","연령별",39세 이하,1.9
"사진작가","2018","연령별",40대,2.9
"사진작가","2018","연령별",50대,7.3
"사진작가","2018","연령별",60세이상,14.5
"사진작가","2018","학력별",고졸 이하,11.9
"사진작가","2018","학력별",대졸,6.4
"사진작가","2018","학력별",대학원이상,3.4
"사진작가","2018","학력별",모름/무응답,13.7
"사진작가","2018","가구소득별",하(3000만원 미만),5.1
"사진작가","2018","가구소득별",중(3~5000만원 미만),7.6
"사진작가","2018","가구소득별",상(5000만원 이상),8.8
"공연 및 전시 기획자","2018","전체",소계,6
"공연 및 전시 기획자","2018","예술활동 분야별",문학,1.2
"공연 및 전시 기획자","2018","예술활동 분야별",미술,2.3
"공연 및 전시 기획자","2018","예술활동 분야별",공예,0
"공연 및 전시 기획자","2018","예술활동 분야별",사진,0.5
"공연 및 전시 기획자","2018","예술활동 분야별",건축,2.5
"공연 및 전시 기획자","2018","예술활동 분야별",음악,10.6
"공연 및 전시 기획자","2018","예술활동 분야별",국악,4.2
"공연 및 전시 기획자","2018","예술활동 분야별",대중음악,4.4
"공연 및 전시 기획자","2018","예술활동 분야별",방송,7.4
"공연 및 전시 기획자","2018","예술활동 분야별",무용,7
"공연 및 전시 기획자","2018","예술활동 분야별",연극,12.3
"공연 및 전시 기획자","2018","예술활동 분야별",영화,1.1
"공연 및 전시 기획자","2018","예술활동 분야별",만화,0
"공연 및 전시 기획자","2018","예술활동 분야별",기타,21.9
"공연 및 전시 기획자","2018","권역별",서울,6.6
"공연 및 전시 기획자","2018","권역별",인천/경기,3.9
"공연 및 전시 기획자","2018","권역별",부산/울산/대구/경북/경남,4.8
"공연 및 전시 기획자","2018","권역별",대전/충청/강원,5.3
"공연 및 전시 기획자","2018","권역별",광주/전라/제주,5.4
"공연 및 전시 기획자","2018","권역별",모름/무응답,19.2
"공연 및 전시 기획자","2018","성별",남성,5.1
"공연 및 전시 기획자","2018","성별",여성,7.3
"공연 및 전시 기획자","2018","연령별",39세 이하,8.3
"공연 및 전시 기획자","2018","연령별",40대,10.5
"공연 및 전시 기획자","2018","연령별",50대,4.5
"공연 및 전시 기획자","2018","연령별",60세이상,1.2
"공연 및 전시 기획자","2018","학력별",고졸 이하,2.5
"공연 및 전시 기획자","2018","학력별",대졸,6
"공연 및 전시 기획자","2018","학력별",대학원이상,8.4
"공연 및 전시 기획자","2018","학력별",모름/무응답,3.8
"공연 및 전시 기획자","2018","가구소득별",하(3000만원 미만),6.1
"공연 및 전시 기획자","2018","가구소득별",중(3~5000만원 미만),6.3
"공연 및 전시 기획자","2018","가구소득별",상(5000만원 이상),5.5
"기타","2018","전체",소계,5.9
"기타","2018","예술활동 분야별",문학,5
"기타","2018","예술활동 분야별",미술,9.6
"기타","2018","예술활동 분야별",공예,7.7
"기타","2018","예술활동 분야별",사진,3.2
"기타","2018","예술활동 분야별",건축,3.3
"기타","2018","예술활동 분야별",음악,4.3
"기타","2018","예술활동 분야별",국악,1.2
"기타","2018","예술활동 분야별",대중음악,2.6
"기타","2018","예술활동 분야별",방송,1.5
"기타","2018","예술활동 분야별",무용,17.3
"기타","2018","예술활동 분야별",연극,5
"기타","2018","예술활동 분야별",영화,2.5
"기타","2018","예술활동 분야별",만화,13.1
"기타","2018","예술활동 분야별",기타,6.9
"기타","2018","권역별",서울,7.1
"기타","2018","권역별",인천/경기,5.7
"기타","2018","권역별",부산/울산/대구/경북/경남,3.9
"기타","2018","권역별",대전/충청/강원,9.5
"기타","2018","권역별",광주/전라/제주,3.1
"기타","2018","권역별",모름/무응답,2.6
"기타","2018","성별",남성,4.7
"기타","2018","성별",여성,7.8
"기타","2018","연령별",39세 이하,4.3
"기타","2018","연령별",40대,5.2
"기타","2018","연령별",50대,6.7
"기타","2018","연령별",60세이상,7.7
"기타","2018","학력별",고졸 이하,6.8
"기타","2018","학력별",대졸,4.8
"기타","2018","학력별",대학원이상,6.6
"기타","2018","학력별",모름/무응답,17.8
"기타","2018","가구소득별",하(3000만원 미만),6.3
"기타","2018","가구소득별",중(3~5000만원 미만),6.6
"기타","2018","가구소득별",상(5000만원 이상),4.8
"국악인","2018","전체",소계,5.2
"국악인","2018","예술활동 분야별",문학,0
"국악인","2018","예술활동 분야별",미술,0.5
"국악인","2018","예술활동 분야별",공예,0
"국악인","2018","예술활동 분야별",사진,0.2
"국악인","2018","예술활동 분야별",건축,0
"국악인","2018","예술활동 분야별",음악,0.4
"국악인","2018","예술활동 분야별",국악,61.9
"국악인","2018","예술활동 분야별",대중음악,0
"국악인","2018","예술활동 분야별",방송,0.4
"국악인","2018","예술활동 분야별",무용,2
"국악인","2018","예술활동 분야별",연극,1.2
"국악인","2018","예술활동 분야별",영화,0
"국악인","2018","예술활동 분야별",만화,0
"국악인","2018","예술활동 분야별",기타,26.1
"국악인","2018","권역별",서울,7
"국악인","2018","권역별",인천/경기,3.1
"국악인","2018","권역별",부산/울산/대구/경북/경남,4.5
"국악인","2018","권역별",대전/충청/강원,3.9
"국악인","2018","권역별",광주/전라/제주,7
"국악인","2018","권역별",모름/무응답,0.5
"국악인","2018","성별",남성,3.6
"국악인","2018","성별",여성,7.8
"국악인","2018","연령별",39세 이하,2.4
"국악인","2018","연령별",40대,3.3
"국악인","2018","연령별",50대,7.7
"국악인","2018","연령별",60세이상,7.8
"국악인","2018","학력별",고졸 이하,7.8
"국악인","2018","학력별",대졸,3.5
"국악인","2018","학력별",대학원이상,6.7
"국악인","2018","학력별",모름/무응답,4.3
"국악인","2018","가구소득별",하(3000만원 미만),4.6
"국악인","2018","가구소득별",중(3~5000만원 미만),7.7
"국악인","2018","가구소득별",상(5000만원 이상),4.4
"문화 및 예술관련 관리자","2018","전체",소계,5.1
"문화 및 예술관련 관리자","2018","예술활동 분야별",문학,3.2
"문화 및 예술관련 관리자","2018","예술활동 분야별",미술,2.7
"문화 및 예술관련 관리자","2018","예술활동 분야별",공예,2.5
"문화 및 예술관련 관리자","2018","예술활동 분야별",사진,1.8
"문화 및 예술관련 관리자","2018","예술활동 분야별",건축,0.7
"문화 및 예술관련 관리자","2018","예술활동 분야별",음악,7.9
"문화 및 예술관련 관리자","2018","예술활동 분야별",국악,4.2
"문화 및 예술관련 관리자","2018","예술활동 분야별",대중음악,2.1
"문화 및 예술관련 관리자","2018","예술활동 분야별",방송,3.4
"문화 및 예술관련 관리자","2018","예술활동 분야별",무용,4.7
"문화 및 예술관련 관리자","2018","예술활동 분야별",연극,9
"문화 및 예술관련 관리자","2018","예술활동 분야별",영화,4.7
"문화 및 예술관련 관리자","2018","예술활동 분야별",만화,0.9
"문화 및 예술관련 관리자","2018","예술활동 분야별",기타,20.3
"문화 및 예술관련 관리자","2018","권역별",서울,7.4
"문화 및 예술관련 관리자","2018","권역별",인천/경기,1
"문화 및 예술관련 관리자","2018","권역별",부산/울산/대구/경북/경남,3.7
"문화 및 예술관련 관리자","2018","권역별",대전/충청/강원,6.3
"문화 및 예술관련 관리자","2018","권역별",광주/전라/제주,2.2
"문화 및 예술관련 관리자","2018","권역별",모름/무응답,16.7
"문화 및 예술관련 관리자","2018","성별",남성,4.7
"문화 및 예술관련 관리자","2018","성별",여성,5.9
"문화 및 예술관련 관리자","2018","연령별",39세 이하,4.1
"문화 및 예술관련 관리자","2018","연령별",40대,7.5
"문화 및 예술관련 관리자","2018","연령별",50대,4.3
"문화 및 예술관련 관리자","2018","연령별",60세이상,5.2
"문화 및 예술관련 관리자","2018","학력별",고졸 이하,2
"문화 및 예술관련 관리자","2018","학력별",대졸,5
"문화 및 예술관련 관리자","2018","학력별",대학원이상,6.2
"문화 및 예술관련 관리자","2018","학력별",모름/무응답,25
"문화 및 예술관련 관리자","2018","가구소득별",하(3000만원 미만),5.4
"문화 및 예술관련 관리자","2018","가구소득별",중(3~5000만원 미만),5.9
"문화 및 예술관련 관리자","2018","가구소득별",상(5000만원 이상),4.2
"무용가","2018","전체",소계,3.4
"무용가","2018","예술활동 분야별",문학,0
"무용가","2018","예술활동 분야별",미술,0
"무용가","2018","예술활동 분야별",공예,0
"무용가","2018","예술활동 분야별",사진,0
"무용가","2018","예술활동 분야별",건축,0
"무용가","2018","예술활동 분야별",음악,0
"무용가","2018","예술활동 분야별",국악,2.5
"무용가","2018","예술활동 분야별",대중음악,0.6
"무용가","2018","예술활동 분야별",방송,2.4
"무용가","2018","예술활동 분야별",무용,77.4
"무용가","2018","예술활동 분야별",연극,1.6
"무용가","2018","예술활동 분야별",영화,0
"무용가","2018","예술활동 분야별",만화,0.7
"무용가","2018","예술활동 분야별",기타,0.4
"무용가","2018","권역별",서울,4.1
"무용가","2018","권역별",인천/경기,3.2
"무용가","2018","권역별",부산/울산/대구/경북/경남,3.5
"무용가","2018","권역별",대전/충청/강원,2.2
"무용가","2018","권역별",광주/전라/제주,2.8
"무용가","2018","권역별",모름/무응답,0.8
"무용가","2018","성별",남성,1.7
"무용가","2018","성별",여성,6.2
"무용가","2018","연령별",39세 이하,7.1
"무용가","2018","연령별",40대,2.6
"무용가","2018","연령별",50대,1
"무용가","2018","연령별",60세이상,1.7
"무용가","2018","학력별",고졸 이하,2.2
"무용가","2018","학력별",대졸,2.6
"무용가","2018","학력별",대학원이상,5.8
"무용가","2018","학력별",모름/무응답,1.1
"무용가","2018","가구소득별",하(3000만원 미만),3.1
"무용가","2018","가구소득별",중(3~5000만원 미만),2.9
"무용가","2018","가구소득별",상(5000만원 이상),4.3
"국악연주가","2018","전체",소계,2.8
"국악연주가","2018","예술활동 분야별",문학,0
"국악연주가","2018","예술활동 분야별",미술,0
"국악연주가","2018","예술활동 분야별",공예,0
"국악연주가","2018","예술활동 분야별",사진,0
"국악연주가","2018","예술활동 분야별",건축,0
"국악연주가","2018","예술활동 분야별",음악,0.8
"국악연주가","2018","예술활동 분야별",국악,33.5
"국악연주가","2018","예술활동 분야별",대중음악,1
"국악연주가","2018","예술활동 분야별",방송,0
"국악연주가","2018","예술활동 분야별",무용,0.7
"국악연주가","2018","예술활동 분야별",연극,0.5
"국악연주가","2018","예술활동 분야별",영화,0
"국악연주가","2018","예술활동 분야별",만화,0
"국악연주가","2018","예술활동 분야별",기타,12.5
"국악연주가","2018","권역별",서울,2.7
"국악연주가","2018","권역별",인천/경기,2.7
"국악연주가","2018","권역별",부산/울산/대구/경북/경남,2.2
"국악연주가","2018","권역별",대전/충청/강원,5
"국악연주가","2018","권역별",광주/전라/제주,2.9
"국악연주가","2018","권역별",모름/무응답,0.9
"국악연주가","2018","성별",남성,2.8
"국악연주가","2018","성별",여성,2.6
"국악연주가","2018","연령별",39세 이하,3.3
"국악연주가","2018","연령별",40대,4.5
"국악연주가","2018","연령별",50대,1.4
"국악연주가","2018","연령별",60세이상,1.9
"국악연주가","2018","학력별",고졸 이하,1.3
"국악연주가","2018","학력별",대졸,3.8
"국악연주가","2018","학력별",대학원이상,2
"국악연주가","2018","학력별",모름/무응답,0.7
"국악연주가","2018","가구소득별",하(3000만원 미만),2.9
"국악연주가","2018","가구소득별",중(3~5000만원 미만),3.6
"국악연주가","2018","가구소득별",상(5000만원 이상),2
"공예가","2018","전체",소계,2.6
"공예가","2018","예술활동 분야별",문학,0
"공예가","2018","예술활동 분야별",미술,4.5
"공예가","2018","예술활동 분야별",공예,93.5
"공예가","2018","예술활동 분야별",사진,0
"공예가","2018","예술활동 분야별",건축,0
"공예가","2018","예술활동 분야별",음악,0.3
"공예가","2018","예술활동 분야별",국악,0.7
"공예가","2018","예술활동 분야별",대중음악,0
"공예가","2018","예술활동 분야별",방송,0.3
"공예가","2018","예술활동 분야별",무용,0
"공예가","2018","예술활동 분야별",연극,0.6
"공예가","2018","예술활동 분야별",영화,0
"공예가","2018","예술활동 분야별",만화,0
"공예가","2018","예술활동 분야별",기타,4
"공예가","2018","권역별",서울,1.9
"공예가","2018","권역별",인천/경기,1.5
"공예가","2018","권역별",부산/울산/대구/경북/경남,4.9
"공예가","2018","권역별",대전/충청/강원,4.3
"공예가","2018","권역별",광주/전라/제주,4.4
"공예가","2018","권역별",모름/무응답,0.4
"공예가","2018","성별",남성,2
"공예가","2018","성별",여성,3.6
"공예가","2018","연령별",39세 이하,1.4
"공예가","2018","연령별",40대,3.8
"공예가","2018","연령별",50대,4.2
"공예가","2018","연령별",60세이상,2
"공예가","2018","학력별",고졸 이하,1.9
"공예가","2018","학력별",대졸,2.1
"공예가","2018","학력별",대학원이상,4.1
"공예가","2018","학력별",모름/무응답,4.1
"공예가","2018","가구소득별",하(3000만원 미만),2.3
"공예가","2018","가구소득별",중(3~5000만원 미만),2.9
"공예가","2018","가구소득별",상(5000만원 이상),3.1
"기술스태프","2018","전체",소계,2.5
"기술스태프","2018","예술활동 분야별",문학,0
"기술스태프","2018","예술활동 분야별",미술,0.3
"기술스태프","2018","예술활동 분야별",공예,0
"기술스태프","2018","예술활동 분야별",사진,0
"기술스태프","2018","예술활동 분야별",건축,0
"기술스태프","2018","예술활동 분야별",음악,1
"기술스태프","2018","예술활동 분야별",국악,0.7
"기술스태프","2018","예술활동 분야별",대중음악,2.3
"기술스태프","2018","예술활동 분야별",방송,2
"기술스태프","2018","예술활동 분야별",무용,0.4
"기술스태프","2018","예술활동 분야별",연극,9.7
